Kasane-HBS1-x,PTMP HBS,Kasane-HBS1-x,192.168.250.56,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00016,0015674a328c,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,Kasane1 S17 47.065 E25 10.43,-17.796212,25.157351,
Kachikau-HBS1-x,PTMP HBS,Kachikau-HBS1-x,192.168.250.79,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A0002C,0015674a5c28,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,KACHIKAU BTC,-18.159465,24.49667,
Lobatse_RLU2-HBS1,PTMP HBS,Lobatse_RLU2-HBS1,192.168.251.130,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000F00011,001567d6ba15,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,LOBATSE RLU 2,51.47885,0.0106,
Lobatse_RLU2-HBS2-x,PTMP HBS,Lobatse_RLU2-HBS2-x,192.168.251.132,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00157,001567501267,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,LOBATSE,-25.233502,25.691679,
Kanye-HBS3-x,PTMP HBS,Kanye-HBS3-x,192.168.251.162,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A0004F,0015674a5c1e,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,KANYE BTC TOWER,-24.973094,25.340749,
Kanye-HBS1-x,PTMP HBS,Kanye-HBS1-x,192.168.251.164,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00024,0015674a3295,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,KANYE,-24.973094,25.340749,
Kanye-GSU,Sync Unit Serial Only,Kanye-GSU,192.168.251.165,RW-9924-001X,E02700F000223,0015674a7416,9,1.9.40_b1864_Mar 21 2011,,Kanye-GSU,-24.973175,25.340375, 1428.4 m
Kanye-Moshupa_Junction-HBS1,PTMP HBS,Kanye-Moshupa_Junction-HBS1,192.168.251.167,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00076,0015674a3e08,6,3.5.70_b3574_Jan  8 2015, 107 Mbps,Kanye-Moshupa_Junction-HBS1,-24.955961,25.297544,
Kanye-HBS2-x,PTMP HBS,Kanye-HBS2-x,192.168.251.170,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A0003A,0015674a4a0f,6,4.1.64_b4174_Nov 10 2015, 107 Mbps,KANYE,-24.973094,25.340749,
Polokwe-HBS2-x,PTMP HBS,Polokwe-HBS2-x,192.168.251.188,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000F00001,001567d35a32,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,POLOKWE BTC,-24.889974,25.353803,
KANYE MMATHETHE HBS1,PTMP HBS,KANYE MMATHETHE HBS1,192.168.251.210,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00089,0015674a32a0,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,MATHETHE JUNC,-25.007506,25.356805,
Metsimotlhabe-HBS1B-x,PTMP HBS,Metsimotlhabe-HBS1B-x,192.168.251.34,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P03320E000A0018A,0015674bc404,6,4.1.64_b4174_Nov 10 2015, 107 Mbps,METSIMOTLHABE,,,
Metsimotlhabe-HBS2B-x,PTMP HBS,Metsimotlhabe-HBS2B-x,192.168.251.36,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P03440I200A00070,0015674b4e0a,6,4.1.64_b4174_Nov 10 2015, 107 Mbps,METSIMOTLHABE,51.47885,0.0106,
Lob_Hill-HBS2-x,PTMP HBS,Lob_Hill-HBS2-x,192.168.251.98,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P03990E500A0004C,0015674aa452,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,Lobatse_Hill-HBS2,-25.216844,25.664003,
Lob_Hill-HBS1-x,PTMP HBS,Lob_Hill-HBS1-x,192.168.251.99,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P03880E500A0055E,0015674bbe37,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,Lobatse,-25.216844,25.664003,
Sefhare-HBS1-x,PTMP HBS,Sefhare-HBS1-x,192.168.252.106,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A000AF,0015674b0023,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,23.02620S 027.52883E,-23.026043,27.529029,
Sefhare-HBS2-x,PTMP HBS,Sefhare-HBS2-x,192.168.252.114,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00168,0015675014ae,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,SEFHARE TOWER,-23.026043,27.529029,
Kalamare-HBS1-x,PTMP HBS,Kalamare-HBS1-x,192.168.252.122,RW5000/HBS/5200/F35/ETSI/EXT - RW-5200-2230,P07870E000A001C2,00156766512a,10,4.2.40_b4258_Jan 27 2016, 260 Mbps,KALAMARE BTC,51.47885,0.0106,
Mahalapye-HBS3-x,PTMP HBS,Mahalapye-HBS3-x,192.168.252.132,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A000FA,00156750149e,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,MAHALAPYE,-23.115758,26.828737,
Mahalapye-GSU,Sync Unit Serial Only,Mahalapye-GSU,192.168.252.133,RW-9924-001X,E02700F0001F7,0015674a7615,9,1.9.40_b1864_Mar 21 2011,,Mahalapye-GSU,-23.11589,26.828451, 1064.4 m
Letlhakeng-HBS1-x,PTMP HBS,LETLHAKENG,192.168.252.164,RW5000/HBS/5B00/F35/ETSI/JET/INT - RW-5B00-2630-00,C12230I000D00210,001567653e09,3,4.9.70_b0015_May  2 2019, 260 Mbps,LETLHAKENG,-24.101795,25.030655, 1140.9 m
Molepolole-HBS1-x,PTMP HBS,Molepolole-HBS1-x,192.168.252.2,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00031,0015674a4e5c,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,MOLEPOLOLE MSU,-24.40811,25.511045,
Molepolole_HBS2,PTMP HBS,Molepolole_HBS2,192.168.252.25,RW5000/HBS/5200/F35/ETSI/EXT - RW-5200-2230,P07870E000A001C1,001567665130,10,4.9.35_b0012_Mar  1 2018, 260 Mbps,MOLEPOLOLE MSU,-24.40811,25.511045,
Letlhakane-HBS1-x,PTMP HBS,Letlhakane-HBS1-x,192.168.252.36,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00092,0015674a6c17,6,4.1.64_b4174_Nov 10 2015, 107 Mbps,Letlhakane,-21.411283,25.582148,
Letlhakane-HBS2-x,PTMP HBS,Letlhakane HBS2,192.168.252.37,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A0010F,001567d34203,6,4.1.64_b4174_Nov 10 2015, 107 Mbps,Letlhakane,,,
Letlhakane-HBS3-x,PTMP HBS,Letlhakane-HBS3-x,192.168.252.38,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00097,0015674a3a10,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,Letlhakane,-21.411283,25.582148,
Letlhakane-GSU,Sync Unit Serial Only,Letlhakane-GSU,192.168.252.39,RW-9924-001X,E02700F0001FE,0015674a6e58,9,1.9.40_b1864_Mar 21 2011,,Letlhakane-GSU,-21.411311,25.582323, 1045.2 m
MOLEPOLOLE GSU,Sync Unit,MOLEPOLOLE GPS,192.168.252.4,GSU/Sync/Unit - RW-9924-0070,P09270E700A002B3,001567df2d2b,1,4.9.71_b0009_May  1 2019,,MOLEPOLOLE MSU,-24.399636,25.488488, 1197.9 m
Palapye-HBS2-x,PTMP HBS,Palapye-HBS2-x,192.168.252.67,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00019,0015674a3298,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,PALAPYE,51.47885,0.0106,
Palapye-HBS3-x,PTMP HBS,Palapye-HBS3-x,192.168.252.68,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00027,0015674a4a0c,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,PALAPYE MSU,-22.555337,27.130094,
Palapye-GSU,Sync Unit Serial Only,Palapye-GSU,192.168.252.69,RW-9924-001X,E02700F0001E0,0015674a760d,9,1.9.55_b1880_Jul  2 2012,,Palapye-GSU,-22.555271,27.130005, 968.7 m
Device Name / IP,Device Type,Device Name,IP Address,Product Name,Serial Number,Mac Address,HW Ver.,SW Ver.,Capacity License,Location,Latitude,Longitude,Altitude
Machaneng-HBS1-x,PTMP HBS,Machaneng-HBS1-x,192.168.252.97,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A000A0,0015674a6e3e,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,MACHANENG,-23.18942,27.500593,
Selebe_Phikwe-HBS1-x,PTMP HBS,Selebe_Phikwe-HBS1-x,192.168.253.132,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A0004C,0015674a5c20,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,SELIBE PHIKWE HBS1,-21.976621,27.83556,
Selebe_Phikwe-HBS3-x,PTMP HBS,Selebe_Phikwe-HBS3-x,192.168.253.136,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A0015D,001567d35a30,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,PHIKWE,-21.976621,27.83556,
Selebe_Phikwe-HBS4-x,PTMP HBS,Selebe_Phikwe-HBS4-x,192.168.253.173,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00091,001567479c0a,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,SELEBI PHIKWE BTC EXCHANGE,-21.976621,27.83556,
Sefophe-HBS1-x,PTMP HBS,Sefophe-HBS1-x,192.168.253.186,RW5000/HBS/5200/F35/ETSI/EXT - RW-5200-2230,P07870E000A00029,001567e4babc,9,4.2.48_b0001_May 17 2016, 260 Mbps,SEFOPHE,-22.182624,27.96742,
Tsetsebjwe-HBS1-x,PTMP HBS,Tsetsebjwe-HBS1-x,192.168.253.195,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A0005D,0015674a5c1f,6,4.1.64_b4174_Nov 10 2015, 107 Mbps,TSETSEBJWE,,,
Mmadinare- HBS1-x,PTMP HBS,Mmadinare- HBS1-x,192.168.253.220,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A0001B,0015674a328f,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,MMADINARE,-21.88643,27.754791,
Matsiloje-HBS1-x,PTMP HBS,Matsiloje-HBS1-x,192.168.237.130,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00023,0015674a3296,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,MATSILOJE,-21.302649,27.883368,
Ramokgwebana-HBS1-x,PTMP HBS,Ramokgwebana-HBS1-x,192.168.253.58,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A0008C,0015674a7e18,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,Ramokgwebana,-20.58377,27.644447,
Maitengwe-HBS1-x,PTMP HBS,HBS1,192.168.168.240,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A0003D,0015674a5c0f,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,MAITENGWE,51.47885,0.0106,
Zwenshambe-HBS1-x,PTMP HBS,Zwenshambe-HBS1-x,192.168.253.65,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00087,0015674a3a0d,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,ZWENSHAMBE BTC,-20.505426,27.434996,
Boro-GSU,Sync Unit Serial Only,MAUNBORO-GSU,192.168.254.109,RW-9924-001X,E02700A000006,0015674df443,9,1.9.55_b1880_Jul  2 2012,,MAUNBORO-GSU,-19.939043,23.47841, 980.9 m
Boro-HBS2-x,PTMP HBS,Boro-HBS2-x,10.45.36.3,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A0009A,0015674a3a14,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,BORO,-19.949321,23.475349,
Boro-HBS1-x,PTMP HBS,Boro-HBS1-x,10.45.36.2,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A000B8,0015674b163e,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,BORO,-19.949321,23.475349,
Nxaraga_HBS1,PTMP HBS,Nxaraga_HBS1,10.45.36.12,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00038,0015674a4e5b,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,NXARAGA,,,
SERONGA HBS1,PTMP HBS,SERONGA HBS 1,10.45.36.10,RW5000/HBS-MS-PRO/5PG5/F54/UNI/128/INT - RW-5PG5-9154,P19580IG00000210,001567ee1f14,411M,5.1.38_b0003_Jun 22 2022, 1500 Mbps,SERONGA EXCHANGE,-18.8159,22.4175, 1022.2 m
Maun-HBS2-Long,PTMP HBS,Maun-HBS2-Long,10.45.36.16,RW5000/HBS/5B00/F35/ETSI/JET/INT - RW-5B00-2630-00,C12230I000H00392,001567e0196c,4,4.9.35_b0012_Mar  1 2018, 260 Mbps,Maun Exchange,-19.990681,23.42245, 995.2 m
Maun-HBS1-short-331,PTMP HBS,MAUNHBS1,10.45.36.15,RW5000/HBS/5B00/F35/ETSI/JET/INT - RW-5B00-2630-00,C12230I000D00244,0015676550a4,3,4.2.47_b0001_May 17 2016, 260 Mbps,MAUNBORO,-19.990668,23.422468, 965.6 m
Matsaodi-HBS1-x,PTMP HBS,SEC1,192.168.254.219,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A000B1,0015674b460f,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,MATSAODI,,,
SHOROBE-HBS2,PTMP HBS,SHOROBE-HBS2,192.168.254.244,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00032,0015674a4a03,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,BTC SHOROBE,-19.759399,23.674142,
SHOROBE HBS3,PTMP HBS,SHOROBE HBS3,192.168.254.245,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A000A3,0015674a7c32,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,PANDAMATENGA,,,
Shorobe-GSU,Sync Unit Serial Only,Shorobe-GSU,192.168.254.246,RW-9924-001X,E02700F000224,0015674a7414,9,1.9.40_b1864_Mar 21 2011,,Shorobe,,,
Etsha-6-HBS1,PTMP HBS,ETSHA 6 HBS 1,192.168.173.226,RW5000/HBS/5B00/F35/ETSI/JET/INT - RW-5B00-2630-00,C12230I000H00448,00156760498a,4,4.9.90_b0004_Jan 14 2021, 260 Mbps,ETSHA 6,-19.117165,22.29644, 987.9 m
Nokaneng_HBS1,PTMP HBS,NOKANENG_HBS1,10.45.36.26,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A0010D,001567d35a3e,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,NOKANENG,,,
MOHEMBO HBS1,PTMP HBS,MOHEMBO HBS1,10.45.36.11,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A000B7,0015674b7001,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,MOHEMBO,51.47885,0.0106,
TSAU HBS1,PTMP HBS,TSAU HBS1,10.45.36.5,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A0007F,0015674a3a03,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,TSAU BTC TOWER,-20.163419,22.458217,
Motokwe-HBS1-x,PTMP HBS,Motokwe-HBS1-x,192.168.132.11,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00165,0015675014aa,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,Motokwe BTC,51.47885,0.0106,
Mabutsane-HBS1-x,PTMP HBS,Mabutsane-HBS1-x,192.168.132.74,RW5000/HBS/5200/F35/ETSI/EXT - RW-5200-2230,P07870E000A001C3,001567df625f,10,4.2.40_b4258_Jan 27 2016, 260 Mbps,Mabutsane,51,47885,
Ramatlabama-HBS2-x,PTMP HBS,Ramatlabama-HBS2-x,192.168.133.35,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A000F6,001567d35a61,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,RAMATLABAMA,51.47885,0.0106,
Pitshane_Molopo-HBS1-x,PTMP HBS,Pitshane_Molopo-HBS1-x,192.168.133.40,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A0006C,0015674a3a20,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,Phitshane Molopo,51.47885,0.0106,
Digawana-HBS1-x,PTMP HBS,Digawana-HBS1-x,192.168.133.55,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A000A1,0015674a6e42,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,Digawana,-25.340463,25.561723,
Ramatlabama-HBS1-x,PTMP HBS,Ramatlabama-HBS1-x,192.168.133.6,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A0006F,0015674a3a0a,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,Ramatlabama,-25.6299,25.574048,
Hebron-HBS1-x,PTMP HBS,Hebron-HBS1-x,10.45.35.2,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P03830E500A002E5,0015674b26ad,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,Hebron,51.47885,0.0106,
Tshele_Hill-HBS1-x,PTMP HBS,Tshele_Hill-HBS1-x,192.168.160.164,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00040,0015674a4e5d,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,TSHELE,-24.378921,26.026363,
Tshele_Hill-GSU,Sync Unit Serial Only,Tshele_Hill-GSU,192.168.160.192,RW-9924-001X,E02700F0003A5,0015674dee79,9,1.9.55_b1880_Jul  2 2012,,Tshele_Hill-GSU,-24.378925,26.026378, 1122.0 m
TSHELE HILL HBS2B,PTMP HBS,TSHELE HBS2B,192.168.160.200,RW5000/HBS/5B00/F35/ETSI/JET/INT - RW-5B00-2630-00,C12230I000H00396,001567601fea,4,4.9.70_b0015_May  2 2019, 260 Mbps,TSHELE,-24.378953,26.026438, 1131.4 m
Palapye_RLU1-HBS1A-x,PTMP HBS,PALAPYE HBS 1A,192.168.160.3,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A0003F,0015674a5c10,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,PALAPYE RLU1,,,
Palapye_RLU1-GSU,Sync Unit,Palapye_RLU1-GSU,192.168.160.5,GSU/Sync/Unit - RW-9924-0070,P09270E700A002B6,0015675f343f,1,4.9.71_b0009_May  6 2019,,PALAPYE RLU1 BTCL,-22.528061,27.094325, 963.5 m
TONOTA HBS1,PTMP HBS,BTCL-TONOTA_SEC2,192.168.161.140,RW5000/HBS/5B00/F35/ETSI/JET/INT - RW-5B00-2630-00,C12230I000J00148,001567df943e,4,4.9.70_b0015_May  2 2019, 260 Mbps,TONOTA,-21.424156,27.458903, 1009.1 m
OODI HBS2,PTMP HBS,OODI HBS2,192.168.165.134,RW5000/HBS/5200/F35/ETSI/EXT - RW-5200-2230,P07870E000A00066,001567e4ba3d,9,4.2.40_b4258_Jan 27 2016, 260 Mbps,OODI,51.47885,0.0106,
Bokaa-HBS1-x,PTMP HBS,Bokaa-HBS1-x,192.168.165.2,RW5000/HBS/5B00/F35/ETSI/JET/INT - RW-5B00-2630-00,C12230I000H00390,001567e01e23,4,4.9.00_b0016_Jan  8 2017, 260 Mbps,BOKAA,-24.433341,26.027365, 975.7 m
Bokaa-HBS2-x,PTMP HBS,Bokaa-HBS2-x,192.168.165.3,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P03450E100A0059D,0015674b765a,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,BOKAA,-24.432833,26.026972,
Gantsi_HBS1-0,PTMP HBS,GHANZI SEC1,192.168.211.2,RW5000/HBS/5B00/F35/ETSI/JET/INT - RW-5B00-2630-00,C12230I000D00266,00156765561f,4,4.9.15_b0007_Jun 11 2017, 260 Mbps,GHANZI,-21.695051,21.648468, 1189.3 m
Gantsi_HBS2-114,PTMP HBS,GHANZI SEC2,192.168.211.3,RW5000/HBS/5B00/F35/ETSI/JET/INT - RW-5B00-2630-00,C12230I000H00401,001567601db2,3,4.9.15_b0007_Jun 11 2017, 260 Mbps,GHANZI MSU,-21.695181,21.648161, 1175.9 m
Charleshill-HBS1-x,PTMP HBS,BTCL Charleshill HBS1,192.168.211.45,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00094,0015674a3291,6,4.1.64_b4174_Nov 10 2015, 107 Mbps,CHARLESHILL,-22.27432,20.07254,
Ncojane-HBS1-x,PTMP HBS,Ncojane-HBS1-x,192.168.211.82,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,,001567000040,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,NCOJANE,-23.135545,20.283948,
Palapye_RLU1_HBS2,PTMP HBS,Palapye_RLU1_HBS2,192.168.218.197,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000F00000,0015675014a4,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,PALAPYE,-22.528047,27.09427,
Palapye HBS1,PTMP HBS,Palapye HBS1,192.168.218.250,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A0016A,001567501476,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,Palapye,-22.555337,27.130094,
Tsabong-HBS1-x,PTMP HBS,Tsabong-HBS1-x,192.168.225.145,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00084,0015674a3a06,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,26 01.367E 022 24.008E,26.22986,22.39972,
Tsabong-HBS2-x,PTMP HBS,Tsabong-HBS2-x,192.168.225.146,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00072,0015674a329c,6,4.1.60_b4172_Jul 26 2015, 107 Mbps,26 01.367S 022 24.088E,-26.022803,22.3999,
Tsabong-HBS3-x,PTMP HBS,Tsabong-HBS3-x,192.168.225.147,RW5000/HBS/5100/F35/ETSI/EXT - RW-5100-2230,P04100E000A00015,0015674a329a,6,4.1.60_b4174_Nov 10 2015, 107 Mbps,TSABONG HBS3,-26.022803,22.3999,
